V1,V2,V3
K,62,3
W,16,3
BV,8,1
K,40,3
AJ,54,1
W,16,3
AJ,52,1
BW,156,0
AO,1,3
X,25,1
K,2,2
W,3,3
BV,8,2
K,7,5
BH,11,3
W,4,5
AJ,9,1
AH,164,0
X,45,8
AJ,122,3
K,86,2
AJ,29,3
K,24,1
Y,1,2
BF,36,2
AN,14,2
BT,73,1
AQ,31,0
M,13,2
Q,43,2
K,74,0
BW,163,1
Y,34,0
P,18,0
Q,22,4
BW,49,1
K,82,0
AH,168,1
Y,10,2
AJ,52,0
K,65,3
AN,16,3
D,25,6
X,24,3
Y,36,0
K,7,3
X,24,9
AU,11,0
D,25,6
K,7,3
AJ,122,3
X,38,0
L,42,0
AO,12,1
Q,3,1
BO,38,0
N,17,0
N,7,0
AJ,7,1
BF,36,7
X,38,0
BH,12,2
BW,176,0
P,18,0
O,10,3
K,57,1
BO,38,1
K,61,0
BW,3,0
R,23,4
W,28,7
K,7,3
BW,132,0
L,29,1
AU,35,0
V,2,0
K,39,0
AJ,58,2
AJ,52,0
AJ,38,1
L,29,1
K,7,6
AJ,77,2
BZ,27,1
D,20,0
BW,79,2
AU,14,0
AU,11,3
Y,5,0
AJ,43,0
K,7,5
BH,20,4
K,65,2
AU,58,0
BO,44,2
AU,60,0
BH,29,6
AO,7,1
Z,31,0
AQ,17,1
K,86,3
BH,18,7
P,36,0
K,7,3
BW,156,0
AN,11,3
X,45,8
K,60,0
AJ,52,0
W,16,4
X,38,0
AJ,58,2
M,16,1
R,23,7
AO,7,6
AO,12,3
AU,77,0
K,60,1
Z,38,0
X,45,10
BW,115,0
R,30,12
K,52,1
BT,43,4
W,16,5
BH,30,4
K,81,0
AJ,40,0
Y,34,1
BO,72,2
W,16,3
BO,44,2
K,3,1
D,25,4
AU,77,0
BV,6,2
W,28,7
P,36,0
K,7,0
BW,176,0
Y,34,1
L,26,1
AR,41,1
X,3,3
X,45,9
AJ,40,0
AL,33,0
BU,38,4
K,58,0
K,7,1
AJ,35,0
Z,38,0
AY,26,3
R,36,0
AJ,52,0
BO,36,0
AH,100,0
Y,10,0
K,61,0
AU,14,2
BV,9,0
D,21,0
BW,48,1
R,30,15
AJ,129,1
O,11,1
AI,20,0
AU,14,0
AO,7,6
X,24,3
BF,44,1
AJ,14,3
Y,36,0
BW,112,0
AL,14,0
O,10,3
AO,29,2
AR,1,1
W,16,5
AJ,14,1
BF,36,5
W,20,3
AJ,52,0
AU,58,0
X,38,0
BT,54,1
AR,35,0
X,45,2
AI,20,0
X,24,1
AL,5,0
BW,22,1
Q,43,3
K,13,2
BW,132,0
AJ,129,3
G,4,3
K,24,1
AJ,38,0
AJ,40,0
Y,10,0
BZ,16,1
X,45,10
AJ,129,1
K,7,0
BF,10,2
AJ,7,1
BF,35,2
BW,96,0
AJ,123,3
K,39,0
BW,69,2
Q,22,3
L,26,1
BO,3,1
BP,6,0
BT,43,11
K,7,3
W,28,0
BV,8,3
Y,34,0
X,45,9
K,7,0
AQ,17,1
K,92,3
K,7,3
K,40,3
AJ,38,1
L,26,1
AH,8,1
L,55,0
AF,4,0
BH,30,5
AU,14,1
AN,2,0
AH,6,1
K,61,0
AJ,17,1
Y,34,1
AR,1,1
Y,34,0
AO,1,10
Y,10,0
AJ,122,1
K,65,3
BH,18,6
AJ,58,3
K,2,5
K,7,3
BV,9,0
AJ,5,1
AU,14,2
Y,4,0
L,29,1
BF,36,3
Y,42,2
N,17,0
AF,8,2
K,2,2
Y,10,0
AU,77,0
Y,9,0
Q,22,4
K,3,1
L,28,2
AJ,49,1
AJ,52,1
BO,36,0
Y,34,0
AU,27,0
W,4,6
O,23,0
AU,11,3
K,62,3
AU,14,0
AU,35,0
BW,49,1
BO,38,1
AU,14,1
K,2,2
AJ,58,2
AJ,38,1
Q,22,4
X,3,7
Y,34,0
K,7,7
BP,8,0
AJ,35,1
K,15,1
AJ,52,0
BD,3,0
L,28,5
BW,157,1
M,16,2
BW,37,1
AU,49,0
Y,42,0
BH,18,7
AJ,54,1
X,38,5
Z,38,0
AV,16,1
AJ,58,1
BW,60,0
Q,22,3
AH,6,1
AU,11,2
K,3,2
AU,14,1
BO,58,2
Y,42,2
AU,54,2
AO,11,3
K,75,0
K,2,4
BD,3,0
K,34,3
X,45,10
BW,49,1
BW,167,0
BW,176,0
BO,38,6
Y,29,2
Q,22,4
BW,160,1
AY,23,3
K,65,3
BV,20,3
AU,14,0
AU,14,0
K,81,2
Y,32,1
W,2,0
AU,54,1
AJ,52,0
BW,91,0
AO,1,10
I,14,1
AH,107,0
Z,38,0
W,28,6
BW,43,0
O,10,4
BW,167,0
K,50,0
AR,41,2
W,4,5
Y,32,0
AJ,52,0
BU,9,0
L,49,1
AJ,42,0
K,40,3
AJ,43,0
AJ,52,1
BY,6,2
BU,38,4
X,19,1
Z,38,0
G,10,2
D,25,1
K,10,1
Y,36,0
D,25,3
AO,7,13
Q,3,1
BF,36,7
AV,7,0
BW,13,1
L,29,1
O,19,1
AU,54,0
BW,3,0
P,2,0
AJ,122,3
AI,20,0
AJ,77,2
BW,107,0
BW,115,0
AJ,52,0
M,19,2
AJ,40,0
AN,11,0
AH,17,1
BT,63,4
Y,10,0
P,36,0
AJ,48,1
AU,11,3
X,3,5
AJ,7,1
BO,100,1
BW,42,0
AJ,58,2
AO,7,13
AH,6,1
AJ,52,0
BW,3,0
BW,157,1
L,6,0
AJ,40,2
AJ,29,3
K,2,1
BO,38,2
AH,69,0
AR,2,2
M,16,2
AL,14,0
AJ,52,1
AJ,54,1
BW,159,1
X,45,4
AH,6,1
BU,36,0
Y,4,0
X,45,9
BO,52,1
Y,32,0
K,31,0
AJ,52,1
AU,11,3
K,7,3
AJ,48,1
BO,38,2
BO,52,1
AO,1,10
AO,7,1
AH,81,1
BF,36,7
P,2,0
BO,38,1
BH,18,5
AJ,113,2
BW,112,0
AJ,40,3
BP,6,0
X,38,7
Q,22,3
D,20,0
K,7,3
BW,126,0
AJ,17,1
L,29,1
AU,58,0
W,28,7
Y,2,4
AO,7,13
BW,69,1
AU,11,2
W,16,3
K,78,2
AJ,59,2
AJ,52,0
AJ,121,1
W,16,3
Y,29,0
AO,20,2
AL,42,0
K,61,0
BV,33,0
K,65,3
W,20,3
K,60,0
P,2,0
K,3,2
BW,49,0
AV,16,0
X,49,3
L,49,1
X,45,8
AJ,40,1
K,7,1
AR,40,0
AJ,113,3
K,7,5
BV,13,0
X,45,10
K,81,0
BW,157,1
BW,13,1
BO,38,5
AU,54,4
BO,38,1
BO,52,1
AJ,43,0
AO,1,7
P,34,0
K,66,2
R,24,1
Y,9,1
X,45,10
Q,22,4
AJ,52,0
BW,112,0
X,24,10
K,35,4
AJ,52,0
AQ,17,1
AJ,29,2
AJ,40,0
R,27,1
BU,1,0
BW,49,0
X,45,2
AH,69,0
N,23,0
Q,3,3
AH,107,0
Y,10,0
K,81,0
BO,47,1
K,7,4
K,50,1
X,45,4
BO,38,2
BU,38,4
X,49,6
BW,156,0
K,7,3
BO,52,1
D,25,3
L,29,1
AU,11,3
AH,68,0
K,7,3
AO,13,1
W,28,7
AJ,114,3
BH,29,2
AQ,31,0
BO,44,1
X,52,1
AQ,17,1
BU,1,0
BW,49,1
W,16,3
AJ,123,1
W,4,5
AJ,122,3
AJ,52,0
BO,36,0
BW,115,0
BW,3,0
BP,6,0
BO,69,2
BU,38,8
X,45,2
BO,32,3
AJ,122,3
K,34,4
AJ,129,0
K,50,1
L,57,0
K,7,0
X,45,9
X,45,8
AU,14,1
Q,43,2
AL,45,0
R,30,15
X,3,6
BP,18,0
AR,5,1
AJ,7,1
AJ,123,2
BP,23,0
BO,44,1
L,28,2
K,86,2
W,4,3
AJ,35,1
AU,58,0
Z,38,0
M,16,0
X,45,2
X,38,0
AJ,55,2
N,25,0
AO,1,3
K,3,1
Y,10,0
BO,52,1
BW,167,0
BO,47,1
BP,17,0
AQ,31,0
AI,2,0
BW,3,0
O,10,5
O,23,0
AJ,35,1
D,6,2
K,60,0
AO,1,3
BV,20,4
BP,23,0
BW,115,0
AJ,52,0
Y,42,2
AU,40,0
W,16,3
AJ,123,3
BF,36,2
L,28,2
BW,95,0
X,45,11
BP,23,0
BO,38,4
K,62,3
K,62,1
X,3,6
AR,41,1
AU,54,2
L,29,1
X,25,3
N,8,0
J,7,1
AO,1,3
Y,34,1
BD,2,0
AO,1,3
W,28,1
AF,8,3
K,61,0
W,16,4
BW,33,1
BV,24,2
Y,10,0
AJ,38,1
K,34,4
K,74,0
AU,40,0
L,26,1
K,7,6
W,16,5
K,13,8
AR,41,1
BT,54,1
Q,43,3
AJ,122,3
AJ,14,3
Y,42,1
AJ,52,1
AL,14,0
L,13,0
P,33,0
BF,35,1
AJ,77,2
W,16,4
X,45,8
AJ,17,1
AJ,58,2
AU,54,0
AJ,29,3
AU,35,0
BW,176,0
AU,54,1
Y,32,4
Y,10,0
W,4,0
Y,34,0
BH,18,6
X,25,3
K,47,1
K,40,3
W,16,3
AO,7,6
AH,148,1
P,9,0
K,7,0
W,28,7
AR,14,2
AO,1,8
AR,5,1
AR,11,2
BO,44,2
BW,96,0
K,7,1
K,50,1
BP,18,0
K,3,2
AQ,17,2
AJ,52,1
AU,54,0
BW,163,1
Q,22,4
BW,92,0
BT,50,4
K,7,6
L,49,1
AU,50,0
Y,9,0
AN,16,0
BW,167,0
AR,35,0
AJ,52,0
BV,24,2
O,10,4
W,3,4
AJ,19,1
K,65,5
L,28,1
W,28,6
AJ,38,0
BV,20,4
AH,52,0
AJ,54,1
K,7,3
AU,54,1
AU,11,3
W,28,5
BW,164,1
L,13,2
BO,3,1
AJ,52,1
AH,6,1
AO,11,4
AJ,58,3
BO,52,1
D,25,3
BW,176,0
AU,77,0
P,30,0
BW,112,0
X,3,4
AU,14,1
Q,22,4
BO,44,1
I,8,4
AJ,14,3
BO,100,1
AL,14,0
X,45,8
AU,40,0
AJ,35,2
BW,167,0
BV,11,0
BT,50,1
X,45,10
Q,40,3
M,16,2
M,16,1
AH,7,0
Y,10,2
K,7,0
AJ,9,1
BW,3,0
X,45,2
AU,14,2
AJ,32,2
Q,22,3
BN,3,0
Q,43,3
W,16,3
K,3,0
AJ,52,0
M,16,2
BO,38,2
AH,70,0
BW,156,0
AU,14,1
L,31,5
BT,11,0
BU,38,3
AJ,58,3
BV,24,2
K,7,1
BY,10,0
Y,9,0
W,28,7
K,3,4
AU,54,1
AU,14,0
AU,73,0
AU,14,1
X,49,6
AU,1,0
AR,35,0
K,57,1
W,16,3
Y,34,0
AQ,17,1
BO,38,6
AJ,59,2
Q,40,2
R,30,12
BF,10,2
Y,34,0
BW,77,1
W,4,6
AU,54,1
BW,112,0
AU,11,3
K,3,4
BW,95,0
X,38,0
AR,2,2
AJ,35,0
W,20,3
BU,38,2
R,1,0
BW,48,1
BW,176,0
K,62,3
AJ,9,1
BW,79,1
AX,2,2
BV,9,1
BW,3,0
Y,21,2
K,79,1
X,38,0
BO,58,1
BO,53,1
BW,49,1
BF,42,1
AJ,52,0
AL,33,0
AH,7,0
AN,11,3
AH,77,1
R,23,7
O,10,3
X,3,3
Y,9,1
K,81,0
BW,160,1
AU,14,1
AO,7,6
D,25,8
BO,53,1
O,23,0
Y,4,0
AJ,121,1
X,45,2
R,30,2
K,86,3
BW,157,1
X,25,1
W,28,6
Y,34,0
BT,49,1
BW,95,0
L,49,0
L,26,1
BW,160,1
X,45,9
AJ,29,3
Y,29,0
P,45,0
AO,20,2
AR,1,2
X,49,1
BW,95,0
BH,18,1
BH,18,7
BU,38,4
AU,54,2
AH,8,1
BW,115,0
K,7,0
AU,14,0
BW,164,1
AJ,77,2
BO,38,2
K,3,2
AJ,29,3
AU,69,0
AJ,52,1
D,25,6
R,30,12
AU,27,0
AO,1,3
AJ,49,1
Y,29,2
W,16,3
BW,160,1
W,16,3
K,78,2
BH,20,8
BH,18,7
X,38,0
BF,39,0
X,12,4
AJ,42,0
BH,29,7
AU,11,3
X,45,10
BO,3,2
Y,29,2
AQ,17,1
BV,24,2
Y,29,0
AH,69,0
X,45,8
BB,12,2
Y,10,0
P,30,0
BW,115,0
BO,36,3
AJ,29,3
K,7,3
P,15,0
BO,36,0
Y,4,0
Q,22,4
X,3,3
N,25,0
Y,34,0
AJ,55,2
AH,119,0
BT,11,0
AO,1,1
J,6,1
BW,156,0
AU,14,2
BW,3,0
R,12,1
AL,14,0
K,7,1
Y,34,0
W,16,5
X,9,2
W,28,8
AJ,35,1
BV,20,4
K,35,4
AJ,55,2
K,65,2
BV,33,0
AR,41,3
P,24,0
BW,157,1
AJ,122,3
AI,20,0
AU,54,2
K,7,0
Q,43,3
AU,58,0
BW,157,1
BU,38,4
BU,38,8
AU,51,2
AJ,17,1
AN,5,2
Q,43,1
AU,58,0
AJ,52,0
BO,36,0
AN,2,1
Q,22,4
AU,14,2
AJ,58,2
BO,38,1
BH,29,4
K,7,1
AJ,58,3
AO,7,6
AX,4,1
AJ,40,3
Y,42,2
AJ,122,3
BD,2,0
AU,1,0
W,16,5
O,2,1
Y,29,0
BW,36,2
AJ,52,0
BW,156,0
BO,47,1
AJ,58,2
Y,36,0
BT,72,2
W,16,3
X,38,0
W,16,4
K,24,1
BO,52,1
X,3,3
BW,167,0
M,16,2
AJ,129,0
BW,49,1
AL,5,0
AQ,17,1
BW,3,0
AJ,129,0
BW,95,0
BV,17,2
AJ,5,1
R,8,1
BW,157,1
AL,31,0
M,13,2
AJ,122,2
AJ,58,3
AV,10,1
AJ,40,1
AJ,76,2
BU,36,2
BF,36,3
AV,7,1
Q,40,1
X,45,2
BY,4,4
BO,38,2
AU,14,2
BP,8,0
AJ,35,0
K,62,3
AJ,43,0
K,39,0
K,7,5
AJ,123,3
BW,157,1
BW,115,0
AU,58,0
AN,11,2
BO,44,1
W,16,5
BU,36,2
BW,48,1
BH,29,4
AU,40,0
BW,156,0
AN,11,3
L,49,1
BO,47,1
K,60,0
X,25,1
L,49,0
AJ,123,3
BW,107,0
P,2,0
AJ,59,2
K,78,2
BO,44,1
Y,32,1
K,2,2
AJ,14,1
X,45,8
AI,20,0
BO,32,3
AO,7,6
K,61,0
BO,38,1
K,2,2
P,2,0
BW,95,0
W,4,0
AO,1,9
AL,42,0
Y,4,0
BW,96,0
BT,43,7
AZ,35,0
W,4,4
BV,33,0
BW,60,0
AJ,121,1
Y,10,0
AR,35,0
AY,30,3
AJ,40,2
BO,36,0
BO,38,6
X,24,3
AU,77,0
AJ,5,1
AU,2,6
Q,3,3
X,9,4
Y,29,0
AJ,32,3
Q,3,3
BW,164,1
X,45,2
M,19,2
BW,115,0
K,34,3
AJ,5,1
AU,14,0
Q,3,1
BW,167,0
BO,47,1
Y,10,2
J,6,0
L,29,1
AJ,1,1
P,36,0
AR,2,2
BO,53,1
X,45,2
L,1,2
K,40,3
BW,167,0
AJ,49,1
BW,156,0
AU,58,0
BW,160,1
AJ,14,3
BW,157,1
N,17,0
P,34,0
P,18,0
AY,37,4
AJ,9,1
BW,96,0
BP,8,0
D,20,0
AJ,58,2
AQ,17,1
AJ,76,2
BW,115,0
Y,29,0
AJ,17,5
L,29,1
Y,42,1
AN,2,0
BW,95,0
AZ,21,1
AO,1,1
BW,112,0
K,7,4
BW,95,0
W,16,3
AU,58,0
BV,8,1
K,7,1
X,9,2
K,62,1
BH,18,5
K,24,1
D,6,1
L,29,1
AJ,54,1
L,49,0
AN,16,0
BP,18,0
R,12,1
AX,4,1
AJ,43,0
Y,34,1
AQ,17,1
P,35,0
R,1,0
Q,22,3
BD,3,0
BP,24,0
BN,3,0
K,7,0
AU,54,2
K,61,0
X,9,4
D,25,6
BW,160,1
K,7,4
AU,54,2
Y,34,0
BW,115,0
W,28,8
K,7,3
O,11,3
AO,1,10
AJ,17,4
K,7,1
Y,34,1
X,9,2
Y,42,2
BZ,16,1
Y,32,0
AJ,35,0
Y,34,0
BW,42,0
R,17,3
AX,4,1
K,7,1
AV,10,2
P,2,0
K,65,3
AQ,14,1
AQ,22,0
Y,32,0
BW,174,0
P,2,0
X,45,10
AX,1,1
X,24,1
Y,4,0
AL,33,0
AL,73,0
BW,132,0
BR,3,0
P,2,0
BH,18,2
P,18,0
Y,29,0
X,9,2
AI,17,0
BV,9,0
BO,35,2
AO,7,13
X,24,8
AJ,58,2
BO,53,1
D,25,6
K,3,4
Y,42,1
Y,10,2
L,29,1
BO,52,1
K,7,0
BD,3,0
K,7,3
K,78,2
BW,156,0
AJ,129,2
D,25,9
BW,115,0
K,2,4
K,7,3
AX,4,0
BV,11,0
AV,9,1
L,29,1
K,74,0
Y,10,0
BF,36,5
D,20,0
K,31,0
AX,4,1
L,28,1
BW,96,0
AJ,129,0
K,34,3
R,20,4
AJ,122,3
X,38,0
AU,58,0
W,3,6
AJ,40,0
Y,29,0
BO,39,4
K,3,2
Y,10,2
AH,69,0
X,9,2
AR,41,2
L,49,1
Y,38,1
L,42,0
M,18,1
X,45,2
AJ,49,1
BW,115,0
K,79,1
BT,43,3
AU,58,0
AJ,52,1
X,52,1
BO,38,1
AJ,9,1
K,7,0
AU,14,2
AJ,9,1
BU,38,3
Y,9,0
Y,32,0
BW,167,0
Y,10,0
Y,9,0
K,60,0
BW,40,1
AU,11,3
X,40,0
AO,12,3
K,44,0
AH,119,0
X,9,4
BW,167,0
AJ,48,1
L,29,1
AU,14,0
BV,33,0
Y,29,4
L,28,1
AJ,38,1
BW,3,0
AH,79,0
K,82,2
AJ,129,3
AJ,58,2
Y,29,0
BW,176,0
AJ,52,1
BW,156,0
AH,50,0
BO,36,0
BU,36,2
AU,51,2
X,9,2
W,28,7
AJ,58,2
Y,9,1
BY,13,3
BW,40,1
AU,58,0
AJ,48,1
AJ,77,2
AJ,52,0
I,16,2
AU,14,0
AJ,44,0
M,16,1
K,57,1
K,51,0
M,16,1
W,4,4
AJ,122,3
M,18,2
Y,32,3
AO,7,4
BV,21,1
BW,115,0
AU,1,0
BP,24,0
AH,77,1
BV,9,1
AJ,58,1
Y,32,0
AJ,58,2
AZ,26,1
AJ,58,2
X,12,4
AH,168,0
AJ,17,1
AR,5,1
X,45,3
AO,7,4
BF,42,0
BW,49,1
AV,10,2
AH,69,0
AR,16,0
BW,167,0
AU,49,0
Y,29,2
BO,38,4
K,7,3
O,23,1
AJ,77,2
J,10,4
W,16,6
BW,48,1
BW,132,0
BU,38,2
X,9,2
X,9,2
Q,22,4
BH,11,5
AO,1,10
K,7,3
BW,176,0
AH,70,0
AL,9,0
O,11,3
AR,16,0
AI,17,0
X,49,2
AU,27,0
AH,69,0
BF,10,1
K,82,0
AJ,29,3
BV,24,2
AR,14,2
AU,40,0
K,81,1
Q,22,2
Y,29,2
BF,37,0
L,14,0
R,30,12
AC,1,1
AU,25,0
J,10,2
AJ,112,1
X,9,2
AU,11,3
AU,54,4
K,7,3
X,24,1
AJ,121,1
AU,35,0
Y,29,0
K,7,4
M,16,1
AZ,17,0
K,81,2
X,45,10
AU,14,1
BV,17,2
BW,167,0
M,18,1
X,3,3
K,7,5
BW,115,0
W,16,5
K,7,6
K,7,3
K,7,1
W,28,8
AO,1,3
AQ,31,0
AJ,129,3
D,25,3
AX,2,1
AY,30,3
X,26,2
M,13,2
BO,36,6
BO,44,2
L,29,1
K,13,8
Z,38,0
BW,43,0
M,16,1
AU,40,0
AJ,58,3
AU,11,3
AU,58,0
AJ,122,3
Y,42,2
AO,7,6
AL,14,0
K,7,1
BF,44,1
AQ,17,1
R,20,3
AQ,31,0
K,40,3
K,7,0
BW,3,0
AJ,35,1
W,16,5
BW,115,0
BW,115,0
AJ,44,0
W,16,3
BW,159,1
K,65,3
L,49,1
AH,19,1
W,16,1
K,7,5
BO,35,0
BU,5,0
BW,34,2
L,49,1
R,27,9
W,3,4
M,16,2
Q,43,1
BO,38,2
K,7,1
K,86,3
P,33,0
AZ,32,0
BV,24,2
K,40,3
W,28,5
BU,35,2
AJ,38,1
AH,101,0
BW,115,0
AU,50,0
AU,58,0
BW,107,0
BF,44,1
BT,43,3
BV,19,1
AJ,59,2
BY,13,4
K,81,0
K,2,1
M,16,1
AO,33,2
BV,3,2
AJ,14,1
L,57,0
AL,72,0
Q,40,0
L,29,1
AU,11,3
X,49,1
K,34,3
K,82,0
AJ,77,2
BH,18,6
AV,10,0
BV,11,0
M,13,2
AQ,17,1
BO,38,1
K,7,4
M,16,1
AJ,35,2
P,35,0
K,74,0
AJ,129,0
BW,32,0
L,14,0
K,85,1
J,4,1
X,12,4
AN,2,1
X,9,2
W,16,6
AH,69,0
AQ,20,0
AU,14,0
X,38,0
K,2,1
K,44,0
W,16,3
AU,40,0
X,45,10
L,28,2
Y,9,1
P,35,0
BH,7,2
BT,72,2
K,2,4
K,3,1
AH,7,0
K,7,3
AL,33,0
AQ,39,1
AN,5,2
AQ,17,2
AJ,35,0
AQ,17,1
AQ,32,0
Y,34,0
W,16,3
AJ,58,2
AU,14,1
AJ,122,3
BW,95,0
X,45,4
Y,29,0
BV,3,2
AJ,9,1
D,11,1
BU,36,2
BW,3,0
AJ,58,2
P,2,0
P,2,0
R,24,4
BO,38,3
BP,24,0
AU,11,2
O,23,0
BF,22,1
X,45,5
Y,34,0
BB,11,1
BW,168,1
BW,157,1
AO,1,3
AJ,7,1
W,4,4
BO,38,3
AR,41,1
BW,48,1
K,39,0
AU,34,0
L,3,0
X,24,3
BB,12,2
K,39,0
BT,73,5
Y,29,0
AR,3,0
X,38,0
AU,58,0
K,7,2
D,21,0
AH,118,0
Y,9,0
BU,5,0
AV,16,1
BV,20,4
Y,9,0
BD,3,0
N,10,1
AR,16,0
K,50,0
BO,38,4
X,45,2
Y,9,0
AU,11,2
K,81,0
W,28,5
AL,49,0
AO,1,10
K,3,1
BF,20,1
BT,43,5
BW,112,0
AJ,58,2
BP,6,0
Y,42,2
AN,11,3
BW,3,0
AJ,7,1
R,31,7
AH,8,1
BW,80,2
AU,14,0
AU,14,0
D,11,2
Q,36,1
AJ,42,0
BO,38,4
N,23,0
Y,9,3
W,28,7
Q,40,2
L,49,1
AV,10,2
D,20,0
AU,58,0
AO,7,6
K,66,2
AU,77,0
BZ,11,2
X,45,10
BO,38,1
L,14,0
X,12,1
AJ,129,0
BO,52,1
Y,9,1
AL,42,0
D,25,9
W,4,5
BO,47,1
AH,8,1
AY,54,1
BO,100,1
X,45,2
AU,54,3
AQ,39,1
K,65,6
X,12,4
K,92,3
BW,22,1
K,7,1
X,9,4
K,25,1
AJ,76,2
BU,38,4
AH,119,0
BV,24,2
BW,168,1
AH,106,0
BO,38,3
AR,14,1
K,63,3
X,45,2
BU,38,4
K,62,3
Y,42,2
K,65,3
AU,58,0
BU,38,4
BH,29,4
D,25,9
BO,47,1
AY,37,1
K,86,3
BW,96,0
BV,11,0
K,7,3
Y,32,0
BO,52,1
AU,58,0
AL,70,0
R,23,7
Y,34,0
BF,36,3
BF,36,2
L,28,1
AU,58,0
K,62,3
BW,3,0
AR,35,0
BY,13,1
AL,33,0
BO,38,3
BH,11,1
AU,51,2
X,45,10
BG,19,0
Y,32,1
K,65,3
AJ,43,0
Y,42,1
BW,95,0
AH,75,1
Y,4,0
Q,22,3
AJ,54,1
BW,115,0
BO,35,2
Z,34,0
AO,1,15
BP,9,2
K,7,3
AJ,17,1
BW,172,0
BP,6,0
BO,38,3
BW,183,0
AR,5,1
Q,22,4
AO,1,10
K,2,2
AU,11,2
O,23,0
AR,5,1
N,26,0
K,86,3
BU,36,2
Q,3,1
K,2,2
AJ,52,0
K,7,0
K,2,2
X,24,3
M,16,2
AJ,14,3
K,63,3
AJ,123,3
AH,8,1
K,34,4
BO,71,1
J,7,1
AX,8,0
BZ,9,0
Y,32,3
AQ,17,2
AO,20,2
K,82,2
Q,3,3
BY,4,4
BF,36,3
K,3,2
K,13,8
AU,11,3
AO,7,6
BW,3,0
BW,164,1
K,7,1
K,7,0
AO,11,1
AJ,52,0
BW,95,0
K,65,6
Z,38,0
AJ,14,3
AO,7,1
K,7,3
AJ,29,3
BH,18,5
AU,14,0
BO,52,1
AU,40,0
BF,36,2
BF,36,7
BO,15,1
AJ,58,2
BO,66,1
BW,96,0
BV,17,1
I,8,1
BV,3,3
BH,18,6
BW,166,0
AJ,58,2
AU,40,0
L,26,1
AL,72,0
BG,4,1
K,63,3
BT,43,4
K,24,1
AJ,122,3
AJ,77,2
K,7,6
AO,1,3
M,16,2
BH,18,5
BT,11,1
N,8,0
K,81,2
W,20,3
AJ,58,2
AJ,52,1
L,26,1
W,28,7
AO,1,3
AJ,123,3
BD,3,0
BT,40,0
Z,43,0
BO,36,0
BV,9,0
Y,4,0
BW,183,2
AU,58,0
BU,38,2
AJ,40,0
Q,43,3
AO,1,8
K,7,3
Z,40,0
K,7,1
BW,115,0
K,7,5
BD,3,0
D,20,0
AJ,52,1
R,23,7
BV,8,2
Y,29,0
AO,7,8
AY,37,1
AU,77,0
Y,10,0
AU,11,2
AQ,17,2
AJ,129,0
X,3,2
W,16,3
W,28,8
M,16,2
AJ,76,2
AJ,58,2
Q,3,0
AR,35,0
AR,41,1
BU,1,1
AU,54,0
Y,42,2
AU,54,1
AJ,123,3
AO,7,1
K,7,5
AJ,52,1
BW,96,0
W,16,4
K,51,0
BO,38,1
W,16,3
M,16,2
AH,125,0
K,86,3
W,16,3
K,7,3
X,24,10
AJ,58,1
AQ,17,2
P,35,0
X,45,2
D,25,6
AR,14,2
BW,3,0
L,26,1
K,65,3
BT,69,4
AJ,35,0
AJ,58,3
BU,20,0
Y,4,0
K,7,1
AO,1,10
BH,18,2
BO,15,1
BO,44,1
BO,44,1
L,29,1
Y,34,0
AJ,123,3
BW,131,0
BV,24,4
K,50,1
AU,11,1
D,25,3
K,7,5
Y,5,1
BW,36,2
K,60,0
AU,49,0
L,49,0
Q,3,0
BW,48,0
BW,36,1
BW,125,0
AU,50,0
Y,10,2
K,81,2
AU,11,2
L,49,1
Y,29,4
AR,5,1
BW,126,0
K,2,0
Q,40,0
AJ,14,3
AU,14,2
Y,9,3
W,16,5
W,16,3
BZ,11,2
BT,69,5
AQ,17,1
Y,29,0
X,45,8
BO,44,1
AJ,35,0
X,45,8
AJ,121,1
AR,35,0
AU,58,0
AJ,77,1
BU,35,2
AQ,17,1
BW,164,1
AV,10,1
BO,52,1
BW,112,0
BW,48,1
K,7,1
BO,44,2
AU,14,1
Q,3,1
Y,42,2
W,16,5
BW,49,1
P,34,0
AH,6,1
AJ,48,1
O,23,0
AO,20,2
O,19,0
AU,54,2
AO,1,10
AJ,123,1
K,7,3
BW,3,0
I,8,4
BV,3,2
BV,8,1
Y,9,4
K,7,0
AJ,122,3
Y,9,3
L,20,2
AQ,17,1
L,57,0
K,7,0
K,78,2
W,28,5
W,28,6
BW,164,1
AU,11,2
BH,19,1
AI,17,0
Y,38,2
BW,96,0
AJ,58,2
L,26,1
AH,101,0
BW,95,0
W,16,3
K,7,5
BY,4,2
BW,115,0
X,3,2
K,7,7
AR,41,1
BW,40,1
BW,43,0
AL,21,0
K,7,3
M,8,4
W,16,3
AU,54,4
AU,54,2
BF,36,3
AU,11,3
Y,29,0
Q,43,0
BW,95,0
K,13,4
AN,2,1
K,7,1
O,10,1
AU,14,1
K,7,1
Y,34,0
BO,3,1
X,24,8
Y,10,0
BF,35,1
BP,17,0
I,8,4
BO,36,3
AJ,58,2
Y,34,0
BO,36,0
Y,42,0
AO,7,6
BT,72,2
K,7,4
BW,96,0
R,30,12
AQ,17,2
R,30,12
K,52,1
BW,126,0
AY,30,1
AU,14,0
AE,10,1
Y,32,2
BV,8,1
X,25,1
BW,3,0
AJ,112,4
Y,9,0
Q,40,2
BD,3,0
AJ,48,1
W,16,5
X,45,2
M,16,2
BO,32,4
Q,22,3
BO,39,5
BW,96,0
W,16,5
K,81,0
